City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,punta arenas,-53.15,-70.9167,48.31,53,75,19.57,CL,1742316113
158,kardla,58.9978,22.7492,42.78,65,69,8.05,EE,1742316235
159,sinabang,2.4803,96.3801,79.45,81,87,3.02,ID,1742316236
160,figuig (centre),32.1089,-1.2286,70.18,24,22,3.85,MA,1742316237
161,ascencion,31.1,-107.9833,66.72,16,24,41.29,MX,1742316238
162,quellon,-43.1167,-73.6167,59.25,72,0,6.91,CL,1742316240
163,alamogordo,32.8995,-105.9603,69.15,14,0,26.46,US,1742316241
164,borogontsy,62.6683,131.1683,-16.87,100,88,1.59,RU,1742316242
165,santiago de cao,-7.9589,-79.2392,69.93,83,91,9.22,PE,1742316243
166,egilsstadir,65.2653,-14.3948,48.11,53,0,5.75,IS,1742316244
167,ibague,4.4389,-75.2322,69.71,88,75,4.61,CO,1742316036
168,ad dawadimi,24.5077,44.3924,79.95,21,0,6.93,SA,1742316248
169,xilin hot,43.9667,116.0333,29.26,53,0,6.73,CN,1742316249
170,udachny,66.4167,112.4,19.63,95,96,6.87,RU,1742316250
171,zheleznodorozhnyy,55.7503,38.0042,31.08,40,20,4.32,RU,1742316251
172,cidreira,-30.1811,-50.2056,79.92,58,26,11.88,BR,1742316252
173,ust-tsilma,65.441,52.1498,14.25,93,50,6.51,RU,1742316254
174,iskateley,67.6803,53.1512,13.26,87,93,15.46,RU,1742316255
175,aasiaat,68.7098,-52.8699,21.45,82,100,7.38,GL,1742316256
176,lompoc,34.6391,-120.4579,57.02,67,20,17.27,US,1742316258
177,colonia,50.9333,6.95,53.96,21,0,11.5,DE,1742316259
178,nova sintra,14.8667,-24.7167,70.7,82,9,31.43,CV,1742316260
179,taro,-8.3862,115.28,66.04,100,100,0.49,ID,1742316262
180,rio grande,-32.035,-52.0986,77.45,59,1,14.58,BR,1742316031
181,port lincoln,-34.7333,135.8667,65.7,69,0,8.93,AU,1742316265
182,bayji,34.9311,43.487,75.43,27,100,10.51,IQ,1742316266
183,parabel',58.6978,81.4825,36.93,99,100,7.49,RU,1742316267
184,taichung,24.1469,120.6839,54.48,90,20,4.0,TW,1742316269
185,bengkulu,-3.8004,102.2655,76.24,89,92,6.44,ID,1742316270
186,georgetown,5.4112,100.3354,85.95,61,20,5.75,MY,1742315876
187,palmer,42.1584,-72.3287,50.83,39,75,12.66,US,1742316272
188,port-vila,-17.7338,168.3219,74.8,94,20,2.3,VU,1742316273
189,awjilah,29.1081,21.2869,72.36,20,1,8.46,LY,1742316274
190,cabo san lucas,22.8909,-109.9124,77.5,56,0,1.99,MX,1742316275
191,ulladulla,-35.35,150.4667,61.02,80,83,4.97,AU,1742316276
192,invercargill,-46.4,168.35,50.02,92,79,7.0,NZ,1742316278
193,kill devil hills,36.0307,-75.676,50.02,59,0,17.27,US,1742316279
194,rangia,26.4667,91.6333,72.88,17,1,4.65,IN,1742316280
195,waiuku,-37.25,174.75,60.67,73,31,5.66,NZ,1742316281
196,happy valley-goose bay,53.3168,-60.3315,25.11,33,20,2.3,CA,1742316282
197,crane,31.3974,-102.3501,75.72,14,33,11.81,US,1742316136
198,brookings,44.3114,-96.7984,33.8,75,0,10.36,US,1742316284
199,las palmas de gran canaria,28.0997,-15.4134,68.13,64,75,4.61,ES,1742316285
200,khandyga,62.6667,135.6,-26.63,100,74,1.83,RU,1742316287
201,rongelap,11.1635,166.8941,80.6,78,100,20.15,MH,1742316288
202,enewetak,11.3474,162.3373,80.11,76,92,20.83,MH,1742316289
203,jiuquan,39.7432,98.5174,37.08,31,2,1.66,CN,1742316290
204,eydhafushi,5.1033,73.0708,83.21,73,24,2.53,MV,1742316291
205,miri,4.4148,114.0089,78.94,94,40,16.11,MY,1742316292
206,booue,-0.0921,11.9385,78.93,83,96,2.39,GA,1742316293
207,derzhavinsk,51.1,66.3167,39.38,79,94,15.46,KZ,1742316294
208,sahy,48.0741,18.9495,37.56,40,0,5.48,SK,1742316296
209,gaiman,-43.2897,-65.4929,66.4,22,29,11.83,AR,1742316297
210,singaraja,-8.112,115.0882,78.94,83,100,8.23,ID,1742316298
211,basco,20.4487,121.9702,68.36,76,100,31.74,PH,1742316299
212,siguiri,11.6667,-9.5,104.32,16,85,8.93,GN,1742316300
213,kodiak,57.79,-152.4072,33.31,100,100,4.61,US,1742316301
214,djenne,13.9061,-4.5533,106.57,6,11,9.44,ML,1742316303
215,ntoum,0.3833,9.7833,82.31,74,66,6.73,GA,1742316304
216,port macquarie,-31.4333,152.9167,68.07,92,100,1.01,AU,1742316305
217,revda,56.801,59.9303,29.57,95,100,5.39,RU,1742316306
218,manokwari,-0.8667,134.0833,77.7,82,90,5.14,ID,1742316307
219,antalaha,-14.9003,50.2788,79.25,80,100,11.25,MG,1742316308
220,zharkent,44.1628,80.0,50.59,30,0,5.95,KZ,1742316063
221,abepura,-2.6333,140.5833,74.21,100,20,2.3,ID,1742316311
